Aut??nomo,163722,,company_domain,similar_domains_count,probability
United Kingdom,14926,,en.m.wikipedia.org,0,0.3333
Verizon,14898,,verizon.com,3,0.3333
Fedex,14865,,fedex.com,1,1.0
Xyz,14834,,youtube.com,2,0.5
Autonoma,14713,,bing.com,0,0.3333
Espa??a,14695,,No domain found,0,0.3333
Propia,14657,,spanishdict.com,0,0.3333
Desempregado,14274,,dictionary.cambridge.org,0,0.3333
Nepal Telecom,14247,,bing.com,0,0.3333
Inps,14145,,inps.it,1,1.0
Ninguna1,14096,,linkedin.com,0,0.3333
Bangladesh,13875,,bing.com,0,0.3333
Miur,13434,,miur.gov.it,1,1.0
Stay At Home Mom,13045,,No domain found,0,0.3333
College,13021,,collegedunia.com,4,0.25
R??gion De Paris France,12990,,en.wikipedia.org,1,1.0
Studio Legale,12925,,No domain found,0,0.3333
Any Company,12912,,thecompanycheck.com,1,1.0
Lavoratore Indipendente,12754,,it.indeed.com,0,0.3333
Army,12745,,bing.com,0,0.3333
Aaa,12322,,microsoft.com,5,0.2
My Own,12123,,bing.com,0,0.3333
The Salvation Army,12027,,No domain found,0,0.3333
Hong Kong,11969,,bing.com,0,0.3333
U.S Army,11823,,army.mil,1,1.0
Bluesky Agency,11544,,blueskyagency.com,1,1.0
Senegal,11313,,britannica.com,0,0.3333
Me,11170,,merriam-webster.com,0,0.3333
Ge,11131,,jobs.gecareers.com,1,1.0
University,10869,,mu.ac.in,2,0.5
Ex??rcito Brasileiro,10822,,en.wikipedia.org,0,0.3333
Ghana,10672,,britannica.com,1,1.0
Ministry Of Health,10538,,main.mohfw.gov.in,1,1.0
Estado,10407,,No domain found,0,0.3333
United States Army Reserve,10305,,usar.army.mil,1,1.0
Bosch,10227,,bosch.in,5,0.2
Adecco,10175,,adecco.co.in,2,0.5
Independent Consultant,10166,,in.linkedin.com,1,1.0
Greece,10122,,bing.com,0,0.3333
Indite Technologies,10008,,inditetechnologies.com,1,1.0
Rite Aid,9933,,en.wikipedia.org,1,1.0
Olive Garden,9930,,No domain found,0,0.3333
Mindtree,9853,,ltimindtree.com,1,1.0
Allianz,9817,,allianz.com,5,0.2
Ministerio De Educaci??n Del Per?? - Minedu,9766,,minedu.gob.pe,2,0.5
Xx,9551,,m.youtube.com,0,0.3333
Db Schenker,9487,,bing.com,0,0.3333
Hm Forces,9451,,army.mod.uk,1,1.0
Homemaker,9372,,english.stackexchange.com,0,0.3333
British Army,9257,,army.mod.uk,1,1.0
Sutherland Global Services,9255,,sutherlandglobal.com,2,0.5
Employed,9217,,dictionary.cambridge.org,0,0.3333
Desempregada,9069,,dictionary.cambridge.org,0,0.3333
Unknown,9021,,m.imdb.com,0,0.3333
Coldwell Banker Residential Brokerage,8888,,coldwellbanker.in,0,0.3333
Ymca,8833,,bing.com,0,0.3333
Uruguay,8813,,en.m.wikipedia.org,1,1.0
Free,8738,,poki.com,1,1.0
"""Cecaci"" Centro De Capacitacion Comercial E Industrial",8731,,ampliz.com,0,0.3333
Ankara T??rkiye,8648,,britannica.com,0,0.3333
Bbva,8537,,bing.com,0,0.3333
Comcast,8491,,corporate.comcast.com,2,0.5
Us Army Corps Of Engineers,8416,,usace.army.mil,1,1.0
At Home,8389,,at-home.co.in,3,0.3333
Deloitte Consulting,8369,,www2.deloitte.com,2,0.5
Gap,8364,,gap.com,2,0.5
Tj Maxx,8339,,tjmaxx.tjx.com,3,0.3333
Home Office,8330,,in.linkedin.com,1,1.0
Serbest ?çal???ƒan,8298,,tureng.com,0,0.3333
